(0, 64)	(256, 768)	-23.17822265625
(32, 96)	(256, 768)	-22.15179443359375
(64, 128)	(256, 768)	-25.60260009765625
(96, 160)	(256, 768)	-28.139892578125
(128, 192)	(256, 768)	-18.91986083984375
(160, 224)	(256, 768)	2.3192138671875
(0, 64)	(512, 1024)	10.74566650390625
(32, 96)	(512, 1024)	8.62371826171875
(64, 128)	(512, 1024)	6.6624755859375
(96, 160)	(512, 1024)	3.3096923828125
(128, 192)	(512, 1024)	-0.12506103515625
(160, 224)	(512, 1024)	1.49176025390625
(192, 256)	(512, 1024)	4.69281005859375
(224, 288)	(512, 1024)	5.75628662109375
(256, 320)	(512, 1024)	13.99578857421875
(288, 352)	(512, 1024)	6.1279296875
(320, 384)	(512, 1024)	1.3785400390625
(352, 416)	(512, 1024)	0.21051025390625
(384, 448)	(512, 1024)	5.50775146484375
(416, 480)	(512, 1024)	3.74713134765625
(0, 64)	(768, 1280)	-19.4617919921875
(32, 96)	(768, 1280)	-8.64007568359375
(64, 128)	(768, 1280)	-10.2435302734375
(96, 160)	(768, 1280)	-18.509033203125
(128, 192)	(768, 1280)	-10.1259765625
(160, 224)	(768, 1280)	-3.2725830078125
(192, 256)	(768, 1280)	-12.11322021484375
(224, 288)	(768, 1280)	-16.1644287109375
(256, 320)	(768, 1280)	-3.7080078125
(288, 352)	(768, 1280)	24.7978515625
(320, 384)	(768, 1280)	-5.54620361328125
(352, 416)	(768, 1280)	-16.8768310546875
(384, 448)	(768, 1280)	-20.05712890625
(416, 480)	(768, 1280)	-16.62664794921875
(448, 512)	(768, 1280)	1.11590576171875
(480, 544)	(768, 1280)	0.4605712890625
(512, 576)	(768, 1280)	-13.5545654296875
(544, 608)	(768, 1280)	-11.11572265625
(576, 640)	(768, 1280)	-14.555419921875
(608, 672)	(768, 1280)	-17.3851318359375
(640, 704)	(768, 1280)	-16.332275390625
(672, 736)	(768, 1280)	-0.31622314453125
(0, 64)	(1024, 1536)	-2.49627685546875
(32, 96)	(1024, 1536)	3.203125
(64, 128)	(1024, 1536)	17.79150390625
(96, 160)	(1024, 1536)	7.3148193359375
(128, 192)	(1024, 1536)	-2.4068603515625
(160, 224)	(1024, 1536)	2.9490966796875
(192, 256)	(1024, 1536)	-0.1016845703125
(224, 288)	(1024, 1536)	-6.6597900390625
(256, 320)	(1024, 1536)	-5.37603759765625
(288, 352)	(1024, 1536)	10.6781005859375
(320, 384)	(1024, 1536)	-11.21807861328125
(352, 416)	(1024, 1536)	-1.17919921875
(384, 448)	(1024, 1536)	0.6607666015625
(416, 480)	(1024, 1536)	4.6024169921875
(448, 512)	(1024, 1536)	11.55078125
(480, 544)	(1024, 1536)	5.1343994140625
(512, 576)	(1024, 1536)	1.61004638671875
(544, 608)	(1024, 1536)	1.010498046875
(576, 640)	(1024, 1536)	-5.3570556640625
(608, 672)	(1024, 1536)	-5.28466796875
(640, 704)	(1024, 1536)	-5.254638671875
(672, 736)	(1024, 1536)	-2.0391845703125
(704, 768)	(1024, 1536)	11.54638671875
(736, 800)	(1024, 1536)	9.91357421875
(768, 832)	(1024, 1536)	-6.05853271484375
(800, 864)	(1024, 1536)	-4.4227294921875
(832, 896)	(1024, 1536)	0.1414794921875
(864, 928)	(1024, 1536)	-4.4288330078125
(896, 960)	(1024, 1536)	-7.689697265625
(928, 992)	(1024, 1536)	-3.1029052734375
(0, 64)	(1280, 1792)	23.19366455078125
(32, 96)	(1280, 1792)	-4.47314453125
(64, 128)	(1280, 1792)	-5.76263427734375
(96, 160)	(1280, 1792)	2.95709228515625
(128, 192)	(1280, 1792)	0.12017822265625
